i1_r,i2_r,i3_r,i4_r,i5_r,i6_r,i7_r,i8_r,t1_r,t2_r,t3_r,t4_r,t5_r,t9_r,t10_r,t11_r,t12_r,t13_r,t14_r,t15_r,t16_r,t17_r,t18_r,t19_r,t20_r,t21_r,t22_r,t23_r,t24_r,t25_r,o1_r,o2_r,o3_r,o4_r,o5_r,o6_r,o7_r,o8_r,o9_r,o10_r,o11_r,o12_r
12.5,5,82.5,59,82.05,13.5,24.6,113.8888889,36.2875,62.89090909,56.6426986,-0.6,35.82857143,4.666766415,61.29452009,268.8871628,61.96797296,59.31158431,52.43244387,165.4690623,1113.190574,174.0518946,96.1375,-0.985327524,-0.829604224,59.11600154,30.563797,95.2375,95,95.375,0.612,29.28571429,2.18,32,27,0.12,64,29,7.9,0.527,0.659,4.3
12.35,7.954545455,81.5,12.5,82.5,10,24.9,191.5,36.15714286,60.39047619,56.6426986,-0.6,35.95384615,5.482824934,61.29452009,299.0271368,62.58483981,59.54557962,56.119421,160.0637936,1114.19234,172.0114067,95.56435185,-0.995132599,-0.955508719,53.23252062,29.70161134,95.125,94.475,95.675,0.586,22.08333333,2.36,34,31,0.11,67,31,8,0.419,0.624,5.6
12.4,5,81.6,988,85.9,60,25.4,95,36.6,62.9,56.6426986,-0.6,35.4,5.31047325,61.29452009,289.234785,62.110893,59.0929015,55.8146895,159.208815,1114.46045,171.57912,96.45,-0.9338522,-0.97859955,59.56712,24.606031,95.525,95.375,95.55,0.589,31,2.08,37,32,0.094,66,31,8,0.477,0.589,4.6
12.4,5.4,83.7,8,85.9,60,25.5,61.66666667,36.73,62.1047619,56.6426986,-0.6,35.475,5.177370548,61.29452009,293.8730096,61.25803654,58.23771474,55.11250302,160.1421063,1110.293676,171.9881362,94.58363636,-1.008206646,-1.047060575,51.3380582,29.28857073,95.3125,95.0625,95.525,0.591,18.61111111,1.98,33,32,0.093,68,32,7.8,0.465,0.577,5
12.63333333,7.333333333,81.9,54,85.9,60,37.1,23.57142857,37.91666667,61.9,56.6426986,-0.6,35.3,4.914234433,61.29452009,269.4249967,60.3952656,57.3913756,54.26361947,159.801124,1110.335207,174.275825,94.9703125,-1.050279728,-1.006748496,50.31448225,29.43211306,95.475,95.5,95.75,0.585,7.8125,2.22,37,34,0.11,63,32,7.5,0.418,0.646,5.5
12.2,5,81.9,54,85.9,60,37.4,15,35.6,62.1,56.6426986,-0.6,35.4,5.1564527,61.29452009,303.37222,60.578796,57.339497,53.934826,158.88457,1110.364,174.99594,96.725,-0.985408785,-0.99124525,60.323445,26.4567125,95.1,94.675,95.325,0.584,10,2.34,36,36,0.11,65,29,7,0.4,0.552,4.5
12.2,5,81.9,54,85.35,58,37.35,21.66666667,36.14444444,62.11,56.6426986,-0.6,35.51428571,5.155113426,61.29452009,303.5526857,60.53544274,57.37227309,53.99932391,160.0180448,1110.591878,173.2028587,94.35978261,-1.008205244,-0.986381319,55.07739835,27.05295191,95.1,94.675,95.325,0.566,6.666666667,1.97,37,40,0.11,66,29,7.1,0.404,0.618,5.5
12.425,5,84.4,14,84.8,56,37.36666667,21.05263158,35.9375,61.36,56.6426986,-0.6,35.56666667,5.299549086,61.29452009,309.7461452,60.8375031,57.58917019,54.19399752,159.9036505,1109.475724,171.7655639,94.66413043,-1.06483686,-1.075452723,47.20373009,26.30096422,95.53333333,95.43333333,95.6,0.605,5.238095238,2.24,35,31,0.12,59,30,7.6,0.347,0.605,5.9
12.82,5.6,84.4,14,84.8,56,36.7,20,37.9,61.2,56.6426986,-0.6,35.8125,4.928390587,61.29452009,268.7552696,60.25666452,57.22579217,54.07579152,160.0755648,1111.042161,172.3702083,94.88369565,-0.978573914,-0.983073967,47.68425804,26.09439187,95.27142857,95,95.48571429,0.587,7.142857143,2.34,38,33,0.11,63,31,7.4,0.475,0.573,5.9
12.5,15.5,82.4,536,83.2,52,37.2,15,36.57,62.12,55.94285714,-0.6,35.6,5.728577095,61.29452009,288.2325323,61.38419673,58.03037636,54.52400955,159.833745,1115.452259,174.3039605,93.3625,-0.99080307,-0.864520635,52.65829518,29.31309705,95.46,95.36,95.56,0.596,20.47619048,2.44,34,39,0.11,65,28,8.7,0.466,0.657,4.7
12.56666667,37.66666667,81.4,538,81.3,5,36.9,13.18181818,37.8125,59.47142857,57.13333333,-0.6,35.5625,4.420564529,61.29452009,287.1109038,57.20675438,53.91516738,50.43429871,159.7060067,1114.206158,172.35421,94.73557692,-1.026189838,-0.936516594,52.69043708,30.40425769,95.13333333,95.43333333,95.73333333,0.589,5.476190476,2.16,38,30,0.14,60,29,8.1,0.458,0.533,4.3
12.53333333,5,81.4,538,81.7,41,36.4,31,36.94444444,58.71666667,57.05,-0.6,35.65714286,4.626226539,61.29452009,262.4485448,59.28100222,56.21553013,53.00731665,160.1308296,1115.102883,170.3743092,95.05104167,-0.983219899,-0.891219762,52.84589779,31.090305,95.1,94.45,95.5,0.609,6.904761905,2.4,37,32,0.13,66,30,8.4,0.473,0.544,4.3
12.63333333,7.666666667,81.5,102.5,81.7,5,36.16666667,17.04545455,37.95,58.6,57.85,-0.6,36.21818182,4.846453734,62.5072359,288.6245417,58.84822471,56.23028334,51.97617883,161.9214812,1113.013493,175.5654202,93.77954545,-0.991812618,-0.890099851,44.07045918,25.38833134,95.25,95.4875,95.725,0.608,20.83333333,2.13,34,31,0.13,62,28,8.1,0.418,0.534,4.4
12.45,16.75,82.2,80,81.7,5,36.5,20.83333333,37.57142857,60.05,56.3875,-0.6,36.74444444,5.109474414,62.91643519,288.6245417,59.43209252,55.69529371,51.77390124,172.4723638,1112.877843,174.8058338,92.46785714,-0.98781748,-0.878173008,42.04048619,25.29877729,95.5,95.6,95.75,0.608,14.28571429,2.32,34,34,0.13,63,30,8.4,0.43,0.515,4.5
12.4,5,82.2,80,81.7,5,36.5,20.83333333,37.4,61,55.9,-0.6,37.1,5.31047325,61.29452009,289.234785,62.110893,59.0929015,55.8146895,156.9,1108.5,175.05,90.3,-0.95,-0.85,44.25,25.45,95.125,95.5,95.725,0.63,17,2.52,33,33,0.13,63,28,8.4,0.407,0.555,4.6
12,16.5,80.2,184,81.7,19,37.6,46.5,37.91428571,57.68,59.01818182,-0.6,35.8,4.566666667,62.64166667,288.6245417,59.22083333,56.57916667,52.27916667,165.3666667,1109.891667,173.3869565,94.95652174,-0.97826087,-0.869565217,54.62608696,32.16086957,95.25,95.525,96.15,0.612,5,2.26,36,33,0.11,68,31,8.4,0.404,0.617,5
12.175,55,80.6,474,83.50625,35.34375,37.26666667,89,38.43333333,60.4375,56.8375,-0.6,37.2875,4.087535192,60.54860892,288.6245417,56.57273438,55.47389235,50.86752675,163.1118994,1103.737029,175.6228834,95.54305556,-1.00803432,-0.845150453,48.44723665,26.88245783,95.175,95.15,95.75,0.586,5.416666667,2.26,34,29,0.1,76,29,8.5,0.446,0.59,4.7
12.46666667,35.33333333,80.9,298,83.50625,35.34375,36.55,100.5,38.36,59.8,56.65714286,-0.6,35.55714286,4.170496228,60.59439186,288.6245417,56.25325128,55.44361228,50.40470224,159.7388072,1112.892248,177.6403536,93.1,-0.988326959,-0.9529253,47.184026,27.22067829,95.96666667,95.3,95.43333333,0.617,10.47619048,2.22,34,30,0.1,58,29,8,0.448,0.589,4.5
12.65,110,81.3,8,83.50625,35.34375,35.95,100.5,38.44285714,61.13333333,56.71666667,-0.6,35.6,4.741216512,60.95387759,288.6245417,56.79715053,55.66625368,50.32393,174.7310647,1113.998841,179.1783194,92.2015625,-1.007052602,-1.003891053,50.42558375,27.77845269,95.25,94.9,95.6,0.636,25.625,1.9,35,29,0.1,61,26,8.4,0.458,0.552,4.5
12.76666667,93.33333333,81.3,8,83.50625,35.34375,35.95,100.5,38.475,59.85,56.3,-0.6,35.45,4.904398943,62.15418247,288.6245417,58.52804803,55.80034179,51.5432876,171.0678783,1118.743721,179.2624253,91.8140625,-0.997476938,-0.985013447,48.51775284,28.20282088,95.25,94.9,95.6,0.62,20.96153846,2.66,34,28,0.1,60,26,8.1,0.444,0.554,4.6
13.23333333,55.66666667,82.4,116,83.50625,35.34375,34.4,101,38.4625,60.0875,56.35,-0.6,35.5,4.468544042,61.10919029,288.6245417,57.4979535,55.73877244,50.9007191,175.2929954,1112.416621,179.3912296,91.88673469,-0.991483314,-0.971373071,48.51554459,27.88463818,95.2875,95.4125,95.9875,0.617,28.61111111,2.32,32,28,0.11,57,30,7.9,0.432,0.575,4.9
12.62,35.2,80.6,212,83.50625,35.34375,34.7,178,38.5,60.68571429,56.79090909,-0.6,35.475,4.635184224,60.64196459,288.6245417,56.41833557,55.51322173,50.58089861,166.8096041,1114.534237,179.2617776,94.05306122,-0.989339397,-0.985289459,52.12608194,29.26258633,95.5,95.43333333,95.3,0.602,7.5,2.45,32,35,0.093,62,29,8.3,0.46,0.593,5.3
12.83333333,34.66666667,80.6,392,83.50625,35.34375,34.35,161,38.4,60.48,56.5125,-0.6,35.5,4.933245926,61.42850222,288.6245417,57.98842781,55.67025275,50.64243718,180.7364883,1118.012422,179.3649452,93.6375,-1.024035448,-1.023994961,52.48257096,31.13063354,95.7,95.7,96.01111111,0.612,6.666666667,2.47,31,30,0.11,64,30,8.2,0.413,0.565,4.5
12.2,5,81.4,70,83.50625,35.34375,35.26666667,71.66666667,38.51666667,60.575,56.97777778,-0.6,35.53333333,4.363333333,61.29452009,298.3333333,58.09,55.82,50.51,161.3566667,1112.613333,179.4321429,93.33928571,-1.003571429,-0.95,53.50357143,22.95714286,95.45,95.65,95.85,0.615,27.61904762,2.02,32,31,0.093,75,31,8.3,0.449,0.619,5.1
12.23333333,7,81.4,70,83.50625,35.34375,36.075,57.25,38.48333333,60.6,55.83333333,-0.6,35.38333333,4.376923077,61.29452009,298.1346154,58.53076923,56.12692308,51.77307692,164.3538462,1117.923077,179.3576923,94.79615385,-1.011538462,-0.953846154,52.59615385,20.45384615,95.56666667,95.8,96.16666667,0.61,25.71428571,2.56,35,34,0.11,70,27,8.4,0.413,0.61,5.1
12.36666667,26.66666667,80.2,212,83.50625,35.34375,37.4,64,38.4625,60.31428571,56.225,-0.6,35.41428571,4.368991778,61.07114096,288.6245417,54.75805918,55.57490016,47.87392357,171.9705407,1116.846532,179.9285448,94.80446429,-0.996894229,-1.00469221,57.12634467,23.38660645,95.46666667,95.45,96,0.626,20.13888889,2.86,33,32,0.12,66,25,8.4,0.43,0.556,4.9
12.6,25,80.7,51,83.50625,35.34375,34.2,46,38.35,60.61818182,55.42857143,-0.6,52.5,4.312986411,58.45745054,288.6245417,58.4522267,52.03474139,52.27500367,189.6478822,1117.209137,179.4452908,96.15245098,-1.007747371,-0.965953285,55.79888093,29.09116182,95.4,95.43333333,95.56666667,0.617,14.76190476,2.27,30,33,0.1,71,29,8.4,0.423,0.551,5.6
12.6,6.5,80,252,83.50625,35.34375,34.2,800,38.4,60.64166667,56.3,-0.6,55.41666667,4.514309196,61.80411393,288.6245417,58.04222745,55.24733333,50.65674571,174.4182476,1117.418549,180.0117493,95.27410714,-1.006635738,-0.998992718,55.05106954,29.0532935,94.43333333,94.56666667,95.6,0.611,9.047619048,2.3,35,33,0.12,92,28,8.1,0.464,0.662,4.4
